prompt_type,prompt_text,steps,lpips,gen_time_sec,image_path
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",60,0.0,8.077547788619995,../assets/quality_study_60_60_60/Simple_Apple_step60.png
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",50,0.14371541142463684,6.794954776763916,../assets/quality_study_60_60_60/Simple_Apple_step50.png
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",40,0.13695521652698517,5.497236013412476,../assets/quality_study_60_60_60/Simple_Apple_step40.png
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",30,0.10180895030498505,4.198265552520752,../assets/quality_study_60_60_60/Simple_Apple_step30.png
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",20,0.09790463745594025,2.885017156600952,../assets/quality_study_60_60_60/Simple_Apple_step20.png
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",10,0.6135395765304565,1.5648069381713867,../assets/quality_study_60_60_60/Simple_Apple_step10.png
Simple_Apple,"minimalist flat vector art of a single red apple on a white background, simple shapes, no texture",5,0.6509954929351807,0.9136812686920166,../assets/quality_study_60_60_60/Simple_Apple_step5.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",60,0.0,8.178680896759033,../assets/quality_study_60_60_60/Simple_Cat_step60.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",50,0.16992607712745667,6.87164831161499,../assets/quality_study_60_60_60/Simple_Cat_step50.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",40,0.1364099085330963,5.556797742843628,../assets/quality_study_60_60_60/Simple_Cat_step40.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",30,0.12027829885482788,4.233580827713013,../assets/quality_study_60_60_60/Simple_Cat_step30.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",20,0.1762692630290985,2.9071946144104004,../assets/quality_study_60_60_60/Simple_Cat_step20.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",10,0.3072279989719391,1.5843510627746582,../assets/quality_study_60_60_60/Simple_Cat_step10.png
Simple_Cat,"a close-up photo of a white cat sitting on a clean white background, studio shot, soft lighting",5,0.4604429602622986,0.9232957363128662,../assets/quality_study_60_60_60/Simple_Cat_step5.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",60,0.0,8.246538162231445,../assets/quality_study_60_60_60/Simple_Logo_step60.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",50,0.15246210992336273,6.927520751953125,../assets/quality_study_60_60_60/Simple_Logo_step50.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",40,0.14853700995445251,5.5930304527282715,../assets/quality_study_60_60_60/Simple_Logo_step40.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",30,0.11521261185407639,4.267260789871216,../assets/quality_study_60_60_60/Simple_Logo_step30.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",20,0.12296556681394577,2.927093744277954,../assets/quality_study_60_60_60/Simple_Logo_step20.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",10,0.688835084438324,1.5989277362823486,../assets/quality_study_60_60_60/Simple_Logo_step10.png
Simple_Logo,"a simple black and white logo design, geometric triangle shape, vector graphics, white background",5,0.634975790977478,0.9270484447479248,../assets/quality_study_60_60_60/Simple_Logo_step5.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",60,0.0,8.296964883804321,../assets/quality_study_60_60_60/Simple_Icon_step60.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",50,0.41427141427993774,6.9646522998809814,../assets/quality_study_60_60_60/Simple_Icon_step50.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",40,0.34837570786476135,5.616628646850586,../assets/quality_study_60_60_60/Simple_Icon_step40.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",30,0.2360420823097229,4.289573431015015,../assets/quality_study_60_60_60/Simple_Icon_step30.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",20,0.26045820116996765,2.938581705093384,../assets/quality_study_60_60_60/Simple_Icon_step20.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",10,0.6242217421531677,1.6024460792541504,../assets/quality_study_60_60_60/Simple_Icon_step10.png
Simple_Icon,"flat design app icon, weather sun symbol, yellow and orange, minimal",5,0.6978085041046143,0.925023078918457,../assets/quality_study_60_60_60/Simple_Icon_step5.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",60,0.0,8.303447723388672,../assets/quality_study_60_60_60/Simple_Sketch_step60.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",50,0.10965324193239212,6.973707675933838,../assets/quality_study_60_60_60/Simple_Sketch_step50.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",40,0.09881268441677094,5.626819133758545,../assets/quality_study_60_60_60/Simple_Sketch_step40.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",30,0.06510240584611893,4.286625385284424,../assets/quality_study_60_60_60/Simple_Sketch_step30.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",20,0.11352414637804031,2.940322160720825,../assets/quality_study_60_60_60/Simple_Sketch_step20.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",10,0.2552940249443054,1.6034340858459473,../assets/quality_study_60_60_60/Simple_Sketch_step10.png
Simple_Sketch,"a quick charcoal sketch of a circle, rough lines, white paper texture",5,0.40929949283599854,0.9272205829620361,../assets/quality_study_60_60_60/Simple_Sketch_step5.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",60,0.0,8.313908815383911,../assets/quality_study_60_60_60/Portrait_Woman_step60.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",50,0.06169181317090988,6.982818365097046,../assets/quality_study_60_60_60/Portrait_Woman_step50.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",40,0.054986562579870224,5.627448558807373,../assets/quality_study_60_60_60/Portrait_Woman_step40.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",30,0.09990325570106506,4.2926483154296875,../assets/quality_study_60_60_60/Portrait_Woman_step30.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",20,0.21243590116500854,2.944418430328369,../assets/quality_study_60_60_60/Portrait_Woman_step20.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",10,0.41894930601119995,1.6030659675598145,../assets/quality_study_60_60_60/Portrait_Woman_step10.png
Portrait_Woman,"extreme close-up portrait of a young woman with freckles, visible skin pores, peach fuzz, natural lighting, heterochromia eyes, stray hairs, bokeh background, 85mm lens, f/1.8, raw photo",5,0.4751492142677307,0.9265403747558594,../assets/quality_study_60_60_60/Portrait_Woman_step5.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",60,0.0,8.335110902786255,../assets/quality_study_60_60_60/Portrait_Man_step60.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",50,0.3411558270454407,6.985257148742676,../assets/quality_study_60_60_60/Portrait_Man_step50.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",40,0.332658588886261,5.63439416885376,../assets/quality_study_60_60_60/Portrait_Man_step40.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",30,0.12376309931278229,4.289531469345093,../assets/quality_study_60_60_60/Portrait_Man_step30.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",20,0.15272629261016846,2.9556844234466553,../assets/quality_study_60_60_60/Portrait_Man_step20.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",10,0.42867711186408997,1.6076922416687012,../assets/quality_study_60_60_60/Portrait_Man_step10.png
Portrait_Man,"rugged portrait of an old fisherman with a thick beard, deep wrinkles, weathered skin, dramatic chiaroscuro lighting, rembrandt style, intense gaze, black background, highly detailed texture",5,0.5034076571464539,0.932025671005249,../assets/quality_study_60_60_60/Portrait_Man_step5.png
Anime_Girl,"anime style illustration of a magical girl casting a spell, glowing magic circle, floating crystals, intricate frilled dress, rainbow colored hair with gradients, dynamic pose, wind effects, cel shaded, 4k",60,0.0,8.343531131744385,../assets/quality_study_60_60_60/Anime_Girl_step60.png
